City,Longitude,Latitute
Kishanganj,87.95314811,26.29863795
Jamalpur,86.45677665,25.3297912
Buxar,84.01567205,25.5620715
Jehanabad,85.00687849,25.15247135
Aurangabad,75.3390241,19.877263
Chandigarh,76.7797143,30.7334421
Raipur,81.6336833,21.2379469
Bhilai,81.3732849,21.2120677
Korba,82.62951462,22.51976955
Sambalpur,83.883333,21.4
Durg,81.39795456,21.19903535
Delhi,77.2219388,28.6517178
Kirari Suleman Nagar,77.047004,28.7026993
New Delhi,77.2090057,28.6138954
Karawal Nagar,77.2747898,28.7311406
Nangloi Jat,77.0676,28.682
Bhalswa Jahangir Pur,77.1636,28.735
Sultan Pur Majra,77.0805,28.6959
Vasco Da Gama,73.8129178,15.398403
Ahmedabad,72.5797068,23.0216238
Surat,3.2553,45.9383
Vadodara,73.1942567,22.2973142
Rajkot,70.8028335,22.3051991
Bhavnagar,72.1416449,21.7718836
Jamnagar,70.0552102,22.4732415
Junagadh,70.4642754,21.5174104
Gandhidham,70.131715,23.0718743
Nadiad,72.8715911,22.6896135
Gandhinagar,72.6492267,23.2232877
Anand,72.9625629,22.5584995
Morbi,70.8345928,22.8176662
Mehsana,32.706751,34.849107
Surendranagar,71.6673,22.7739
Dudhrej,71.6184,22.7523
Faridabad,77.3103837,28.4029786
Gurgaon,77.00270015,28.42826235
Rohtak,76.5801935,28.9010899
Panipat,76.9771675,29.3912753
Karnal,76.9896254,29.6803266
Sonipat,77.0167323,29.0033144
Yamunanagar,77.28638972,30.2112003
Panchkula,77.04197804,30.61621645
Bhiwani,76.1391283,28.7931703
Ambala,76.770421,30.3843674
Sirsa,75.083333,29.583333
Shimla,77.1709729,31.1041526
Srinagar,74.8204443,34.0747444
Jammu[16],74.8580917,32.7185614
Ranchi,85.3250132,23.3700354
Dhanbad,86.4309638,23.7952809
Jamshedpur,86.2029579,22.8015194
Bokaro,85.99106894,23.69912795
Mango,8.150239,44.686443
Deoghar,86.60673245,24.4766423
Phusro,85.9873831,23.7678684
Hazaribagh,85.43884569,23.9675151
Giridih,86.25113503,24.1608897
Ramgarh,85.53691565,23.59877595
Medininagar,84.0723287,24.0383082
Bangalore,77.5912997,12.9791198
Hubli–Dharwad,75.124,15.3647
Mysore,76.6553609,12.3051828
Gulbarga,77.083333,17.166667
Mangalore,74.8430082,12.8698101
Belgaum,74.5069343,15.8572666
Davanagere,75.9206361,14.4661266
Bellary,76.9193876,15.1433952
Bijapur,80.815939,18.7935679
Shimoga,75.574978,13.9326093
Tumkur,77.1006208,13.3400771
Raichur,77.166667,16.083333
Bidar,-1.5898909,43.4391702
Hospet,76.3872297,15.266493
Udupi,74.7473232,13.3419169
Thiruvananthapuram,76.9360573,8.5241122
Kochi,76.2674136,9.931308
Kozhikode,75.7788735,11.2586082
Kollam,76.5955013,8.8879509
Thrissur,76.2132542,10.5256264
Alappuzha,76.41241429,9.5006651
Kottayam,76.64553257,9.6287383
Indore,75.8681996,22.7203616
Bhopal,77.401989,23.2584857
Gwalior,78.1573628,26.2037247
Jabalpur,79.9497702,23.1608938
Ujjain,75.7851423,23.174597
Sagar,78.75911361,23.80961225
Dewas,76.166667,23
Satna,81,24.5
Ratlam,74.91778971,23.4805919
Rewa,81.65500021,24.75926685
Katni,80.392456,23.8339621
Singrauli,82.6661453,24.1974432
Burhanpur,82.99442537,26.2697215
Khandwa,76.56882823,21.9778642
Morena,77.5,26.166667
Bhind,78.75,26.5
Guna,77.5,24.5
Shivpuri,77.82811933,25.37524125
Mumbai,72.8773928,19.0759899
Pune,73.8544541,18.521428
Nagpur,79.0820556,21.1498134
Thane,72.9701779,19.1943294
Pimpri-Chinchwad,73.8009829,18.6279288
Nashik,73.7902364,20.0112475
Kalyan-Dombivli,73.1182464,19.2334875
Vasai-Virar,72.8224901,19.4258788
Aurangabad,75.3390241,19.877263
Navi Mumbai,73.0198537,19.0308262
Solapur,75.27632027,17.84990665
Mira-Bhayandar,72.8573593,19.2955429
Jalgaon,75.52592659,20.84351185
Bhiwandi,73.07847468,19.3625308
Amravati,77.64429618,21.15454115
Nanded,77.29141237,19.17257215
Kolhapur,74.2405329,16.7028412
Akola,77.19217163,20.7618624
Ulhasnagar,73.18986842,19.19714465
Sangli,74.5948885,16.8502534
Malegaon,76.97620307,20.2593991
Latur,76.75512122,18.35146855
Dhule,74.47891181,21.13050145
Ahmednagar,74.8580243,19.1627725
Satara,74.29827808,17.63612885
Chandrapur,91.89620685,26.21231825
Parbhani,76.60290343,19.29031365
Ichalkaranji,74.4555755,16.6959348
Jalna,75.86862469,19.9182328
Ambarnath,73.29553454,19.1436074
Bhusawal,75.83998255,20.99327605
Panvel,73.10288131,18.96558885
Imphal,93.9364419,24.7991162
Aizawl,92.7382905,23.7435236
Shillong,91.8825282,25.5760446
Bhubaneswar,85.8435592,20.2667774
Cuttack,85.8792,20.4686
Rourkela,84.85775201,22.2539994
Berhampur,86.63272983,21.49308515
Bilaspur,82.133333,22.383333
Raurkela Industrial Township,84.862,22.1993
Uzhavarkarai,79.7733,11.9394
Pondicherry,79.8069488,10.91564885
Ludhiana,75.851601,30.9090157
Amritsar,74.8736788,31.6343083
Jalandhar,75.56805772,31.29201065
Patiala,76.33987209,30.2090874
Bathinda,75.04710156,30.17911535
Phagwara,75.7696463,31.2206734
Jaipur,75.8189817,26.9154576
Jodhpur,73.0351433,26.2967719
Kota,76.00089331,25.1968256
Bikaner,73.3171367,28.0159286
Ajmer,74.639,26.4691
Udaipur,73.6862571,24.578721
Bhilwara,74.69961284,25.48877345
Alwar,76.61445249,27.63907705
Bharatpur,77.36912555,27.26521245
Sikar,75.02792629,27.662826
Pali,73.41560879,25.6040908
Sri Ganganagar,73.58462394,29.46030165
Gangtok,88.6122673,27.329046
Chennai,80.270186,13.0836939
Salem,-123.033121,44.9391565
Coimbatore,76.9628425,11.0018115
Madurai,78.1140983,9.9261153
Tiruchirappalli,78.6870296,10.804973
Tiruppur,77.345192,11.1017815
Erode,77.67662687,11.3692044
Ambattur,80.15986241,13.1128863
Tirunelveli,77.5792694,8.7012203
Avadi,80.09409,13.1254758
Tiruvottiyur,80.3005279,13.1563873
Thoothukudi,78.1452745,8.8052602
Nagercoil,77.4290492,8.1880471
Thanjavur,79.1381497,10.7860267
Pallavaram,80.10098654,12.9898157
Dindigul,78.06739791,10.3303299
Vellore,79.0006411,12.7948109
Kumbakonam,79.37173036,10.9645549
Pudukkottai,78.833333,10.5
Hosur,77.8309478,12.7328844
Karaikudi,78.7657007,10.0680908
Hyderabad,78.4740613,17.360589
Warangal[11][12],79.5982115,17.9806094
Nizamabad,82.99313868,26.05531795
Khammam,80.333333,17.5
Karimnagar,79.1322648,18.4346438
Ramagundam[27],79.4787848,18.7615156
Secunderabad,78.5006827,17.4337246
Mahbubnagar,77.9923191,16.7434538
Suryapet,79.79253297,17.08001385
Miryalaguda,79.5613977,16.8709882
Agartala,91.2823821,23.8312377
Lucknow,80.9346001,26.8381
Kanpur,80.3217588,26.4609135
Ghaziabad,77.4445372,28.711241
Agra,78.0098161,27.1752554
Meerut,77.76822875,29.00065255
Varanasi,83.0076292,25.3356491
Bareilly,79.40557094,28.457876
Aligarh,78.13729028,27.87698975
Moradabad,78.80577833,28.8638424
Saharanpur,77.50812995,29.9880774
Gorakhpur,83.36458284,26.67132865
Noida,77.3271074,28.5707841
Firozabad,78.38991198,27.17736635
Loni,74.4709449,19.5821138
Jhansi,78.65268902,25.53103115
Muzaffarnagar,77.74068503,29.44800635
Mathura,77.583333,27.633333
Shahjahanpur,79.74656295,27.91263315
Rampur,79.18593045,28.79406825
Mau,83.49793418,26.0376878
Farrukhabad,79.48912947,27.43719385
Hapur,77.83542557,28.7406125
Etawah,79.09025375,26.71832435
Mirzapur,82.6477013,24.9356347
Bulandshahr,77.97479773,28.38886085
Sambhal,78.55087405,28.61875255
Amroha,78.48831693,28.9233969
Fatehpur,80.91800397,25.8435395
Raebareli,81.17502109,26.25252795
"Khora, Ghaziabad",22.9872796,36.1497593
Orai,79.42432768,25.9359555
Bahraich,81.47732128,27.7336958
Jaunpur,82.48834098,25.7955927
Unnao,80.61376178,26.57550365
Ballia,84.11995931,25.87793255
Allahabad,81.8338005,25.4381302
Dehradun,78.0436813,30.3255646
Haridwar,78.1452985,29.9384473
Kolkata,88.35769124,22.5414185
Howrah,88.3251045,22.5736296
Durgapur,87.3380425,23.5350475
Asansol,86.9746587,23.6871297
Siliguri,88.4309916,26.7164127
Maheshtala,88.2532182,22.508621
Rajpur Sonarpur,88.432045,22.4382026
South Dumdum,88.3853195,22.6170856
Gopalpur,87.20787306,25.30946375
Bhatpara,81.9444592,21.7353478
Panihati,88.3770603,22.6950342
Kamarhati,88.3763418,22.67072815
Bardhaman,87.8689422,23.244051
Kulti,86.8396711,23.7302149
Bally,88.343612,22.6469581
Barasat,88.4889529,22.7176238
North Dumdum,88.381301,22.6474604
Baranagar,88.3805962,22.6530765
Uluberia,88.0938448,22.4722227
Naihati,88.4269386,22.890183
Bidhannagar,88.45238694,22.58162035
Kharagpur,86.52504036,25.13317305
Malda,88.1398483,25.0057449
Haldia,88.0632655,22.028124
Madhyamgram,88.4530572,22.6947715
Berhampore,88.23779875,24.0510297
Raiganj,88.12464576,25.6806539
Serampore,88.3416672,22.7549951
Chinsurah,88.38761418,22.96890415
